"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准變更日期"
"131","07685858","顏生針織股份有限公司","臺北市中山區林森北路575號3樓301室","顏志光","5000000","1100521"
"132","07690661","億至昇呢羢有限公司","臺北市大同區甘谷街50號1樓","李崇華","2000000","1100511"
"133","07721550","福發實業股份有限公司","臺南市官田區二鎮里建業路17號","郭哲宇","520002290","1100514"
"134","07725508","永曄股份有限公司","新北市中和區中板路47巷17號2樓","徐浩鈞","7000000","1100510"
"135","07912185","台灣關西塗料股份有限公司","高雄市永安區永安工業區永工二路6號","伊藤直孝","270000000","1100505"
"136","07926511","久陽精密股份有限公司","高雄市橋頭區芋林路299號","孫正強","755773600","1100524"
"137","08031982","弘盟汽車修護股份有限公司","屏東縣東港鎮興東里沿海路80號","許峰嘉","5200000","1100503"
"138","08121837","花蓮縣農產運銷股份有限公司","花蓮縣鳳林鎮林榮里林榮路338號","顏新章","3000000","1100525"
"139","09412284","全球商業網股份有限公司","臺北市內湖區堤頂大道2段501號6樓","林暉","25000000","1100519"
"140","09427391","台灣路威股份有限公司","臺北市信義區忠孝東路5段68號25樓","徐偉華(Michael SCHRIVER)","100000000","1100531"
"141","09430987","協欣金屬工業股份有限公司","桃園市大溪區仁和路2段412號","姚振祥","674591380","1100511"
"142","09442581","東典貿易股份有限公司","臺北市大安區敦化南路2段99號23樓","陳榮元","32000000","1100524"
"143","09448804","和展影視股份有限公司","臺北市信義區光復南路417號7樓之4","謝玉莉","9000000","1100527"
"144","09461025","致茂電子股份有限公司","桃園市龜山區文茂路88號","黃欽明","4216315370","1100514"
"145","09461242","嬌聯股份有限公司","新北市板橋區新站路16號25樓","洪振輝","588800000","1100510"
"146","09476890","瀚洋海事檢定保險公證人股份有限公司","高雄市苓雅區四維四路190號11樓之3","王孟濰","4500000","1100524"
"147","09477650","勇信貿易股份有限公司","新北市五股區五權路46號","黃正隆","160000100","1100531"
"148","09479334","鴻萊實業股份有限公司","臺北市中山區南京東路3段208號5樓","林志平(JORGE UY LYMN)","5000000","1100506"
"149","09482035","統領置業股份有限公司","臺北市大安區仁愛路3段32號8樓","龔金源","30000000","1100520"
"150","11026506","大同股份有限公司","臺北市中山區集英里21鄰中山北路3段22號","盧明光","23395366850","1100526"
"151","11081274","六福開發股份有限公司","新竹縣關西鎮仁安里拱子溝60號","莊豐如","1913128300","1100525"
"152","11081681","台灣三菱電梯股份有限公司","臺北市大安區復興南路2段363號4樓","高駿殿","2215248750","1100503"
"153","11082318","聯一綜合投資股份有限公司","臺北市大安區新生南路1段143巷3號2樓","林新一","300000000","1100531"
"154","11083251","中華環球投資控股股份有限公司","臺北市松山區民生東路3段129號9樓","劉禹策","3500000000","1100507"
"155","11329213","青葉食品工業股份有限公司","臺北市中山區南京東路2段8號11樓","簡德仁","40000000","1100527"
"156","11350411","幸鷺機械股份有限公司","新北市新莊區思源路87巷7號","莊岳龍","72000000","1100504"
